county,year,dayswaqi,maqi
Ada,1981,351,147
Matanuska-Susitna ,2001,125,93
Grand,1992,187,97
Providence,2015,365,170
Oldham,2007,245,156
Salem City,1987,33,81
Dubois,1988,59,73
Webb,1989,11,59
Pearl River,2003,113,85
Ellis,2010,119,59
Alameda,2011,365,147
Rockwall,2000,142,185
Butler,2017,365,126
Holmes,2018,346,79
Crawford,1993,353,169
San Benito,2017,365,117
Oakland,1983,365,214
Kaufman,2005,361,172
Butte,1999,357,112
Shoshone,1994,121,95
Richmond City,1999,365,133
Pointe Coupee,2008,344,143
Elbert,2005,88,56
Ravalli,1996,314,71
Woodbury,2004,124,97
Schenectady,1981,364,136
Polk,2003,365,147
Marengo,1989,45,52
Cass,2011,285,77
Marion,2003,365,197
Williams,2007,362,135
Schoolcraft,2003,358,214
Anne Arundel,2017,265,129
Manistee,1987,342,96
Lincoln,1997,361,66
Franklin,2003,61,44
Scott,2004,104,92
Portage,1998,212,212
Isle of Wight,1993,28,51
Warren,2005,365,200
Shoshone,2013,365,152
Cambria,2014,365,108
Spencer,1980,274,195
Ward,1987,28,79
Bergen,1985,364,200
Stearns,1982,345,122
Jefferson,1997,364,154
Brooke,1991,363,200
Massac,1982,349,158
Hinds,1998,365,151
Tarrant,2006,365,202
